A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId
7333,7,A05-A14,176,179,0,0,5061.8,5362.5,0,0,903
7333,7,A15-A34,526,483,0,0,6445.3,6501.5,0,0,904
7333,7,A35-A59,642,692,2,2,4894.8,5227.8,15.2,15.1,905
7333,7,A60-A79,233,233,13,2,2621.8,2530.4,146.3,21.7,906
7333,7,A80+,64,156,19,39,3162.1,4888.7,938.7,1222.2,907
7334,7,A00-A04,183,175,0,0,5552.2,5687.4,0,0,908
7334,7,A05-A14,579,510,0,0,9243.3,8716.5,0,0,909
7334,7,A15-A34,1376,1241,1,1,9351,9130.4,6.8,7.4,910
7334,7,A35-A59,1684,1771,3,3,7281.5,7780.2,13,13.2,911
7334,7,A60-A79,624,584,21,10,4568.8,4015.1,153.8,68.8,912
7334,7,A80+,173,325,40,56,5445.4,6577.6,1259,1133.4,913
7335,7,A00-A04,109,102,0,0,3526.4,3458.8,0,0,914
7335,7,A05-A14,417,420,0,0,8092.4,8748.2,0,0,915
7335,7,A15-A34,908,868,0,0,8104.2,8156.4,0,0,916
7335,7,A35-A59,985,988,4,2,5527.2,5369.6,22.4,10.9,917
7335,7,A60-A79,348,323,19,13,2869.6,2536.3,156.7,102.1,918
7335,7,A80+,77,148,20,29,2696.1,3259.2,700.3,638.6,919
7336,7,A00-A04,54,67,0,0,3200.9,4308.7,0,0,920
7336,7,A05-A14,162,137,0,0,5353.6,4790.2,0,0,921
7336,7,A15-A34,459,424,0,0,6356.5,6379.8,0,0,922
7336,7,A35-A59,488,518,3,0,4124.4,4388.3,25.4,0,923
7336,7,A60-A79,213,227,13,10,2387.6,2480.9,145.7,109.3,924
7336,7,A80+,77,146,16,32,3608.2,4466.2,749.8,978.9,925
7337,7,A00-A04,99,82,0,0,3847.6,3519.3,0,0,926
7337,7,A05-A14,421,373,0,0,8448.7,7936.2,0,0,927
7337,7,A15-A34,708,689,0,0,6327.6,6599,0,0,928
7337,7,A35-A59,1080,1189,1,1,5571,6004.1,5.2,5,929
7141,7,A35-A59,982,1059,7,3,4601.7,5002.4,32.8,14.2,930
6437,6,A15-A34,902,888,0,0,8560.3,9248.1,0,0,931
7141,7,A60-A79,390,367,25,1,2724.4,2392.1,174.6,6.5,932
6437,6,A35-A59,1104,1184,5,3,6730.5,7132.5,30.5,18.1,933
7141,7,A80+,123,200,35,32,3338.8,3691.4,950.1,590.6,934
6437,6,A60-A79,473,462,44,17,4136.8,3807.8,384.8,140.1,935
7143,7,A00-A04,207,173,0,0,4179.3,3681.6,0,0,936
6437,6,A80+,163,302,46,69,5517.9,6774.3,1557.2,1547.8,937
7143,7,A05-A14,647,561,0,0,6775.6,6125.1,0,0,938
6438,6,A00-A04,262,254,0,0,2798.2,2858.1,0,0,939
7143,7,A15-A34,1506,1448,0,0,6662.8,6956.2,0,0,940
7312,7,A15-A34,1123,859,0,0,6723.7,6762.7,0,0,941
6438,6,A05-A14,1205,1125,0,0,6793.7,6826.9,0,0,942
7143,7,A35-A59,1846,1813,8,2,5110.2,5071.2,22.1,5.6,943
7312,7,A35-A59,759,804,4,2,4991.1,5300.6,26.3,13.2,944
6438,6,A15-A34,3950,3763,0,0,9782.1,10006.9,0,0,945
7143,7,A60-A79,657,626,28,27,2988.8,2702.1,127.4,116.5,946
7312,7,A60-A79,279,304,27,16,2965.9,2721.6,287,143.2,947
6438,6,A35-A59,4878,4959,18,1,7755,7812.8,28.6,1.6,948
7143,7,A80+,189,366,51,61,3488.4,4251.4,941.3,708.6,949
7312,7,A80+,103,205,37,37,4133.2,4943.3,1484.8,892.2,950
6438,6,A60-A79,1592,1526,115,62,4483.9,3824.1,323.9,155.4,951
7211,7,A00-A04,77,67,0,0,3127.5,2943.8,0,0,952
