age_ratio,icu_ratio,facecolor,facecolor_id,admin_unit
91,18,#5ac8c8,3,7315
93,25,#3b4994,9,7316
88,26,#8c62aa,8,7317
93,23,#5698b9,6,7318
88,21,#ace4e4,2,7319
78,23,#dfb0d6,4,7320
83,20,#ace4e4,2,7331
79,24,#be64ac,7,7332
83,22,#a5add3,5,7333
79,20,#e8e8e8,1,7334
50,22,#dfb0d6,4,7335
100,24,#3b4994,9,7336
92,24,#3b4994,9,7337
89,21,#ace4e4,2,7339
22,26,#be64ac,7,7340
89,18,#ace4e4,2,8111
96,20,#5ac8c8,3,8115
86,21,#ace4e4,2,8116
64,22,#dfb0d6,4,8117
96,20,#5ac8c8,3,8118
77,21,#e8e8e8,1,8119
88,19,#ace4e4,2,8121
88,19,#ace4e4,2,8125
100,20,#5ac8c8,3,8126
86,20,#ace4e4,2,8127
70,23,#dfb0d6,4,8128
80,22,#dfb0d6,4,8135
81,21,#ace4e4,2,8136
92,26,#3b4994,9,8211
94,19,#5ac8c8,3,8212
86,21,#ace4e4,2,8215
100,22,#5698b9,6,8216
92,17,#5ac8c8,3,8221
92,18,#5ac8c8,3,8222
57,22,#dfb0d6,4,8225
91,22,#5698b9,6,8226
83,20,#ace4e4,2,8231
67,21,#e8e8e8,1,8235
85,21,#ace4e4,2,8236
92,21,#5ac8c8,3,8237
83,17,#ace4e4,2,8311
72,22,#dfb0d6,4,8315
98,21,#5ac8c8,3,8316
83,21,#ace4e4,2,8317
83,21,#ace4e4,2,8325
95,22,#5698b9,6,8326
56,20,#e8e8e8,1,8327
77,21,#e8e8e8,1,8335
97,21,#5ac8c8,3,8336
70,21,#e8e8e8,1,8337
84,21,#ace4e4,2,8415
99,18,#5ac8c8,3,8416
79,22,#dfb0d6,4,8417
94,18,#5ac8c8,3,8421
93,19,#5ac8c8,3,8425
94,19,#5ac8c8,3,8426
65,23,#dfb0d6,4,8435
77,20,#e8e8e8,1,8436
90,21,#5ac8c8,3,8437
90,18,#5ac8c8,3,9161
94,17,#5ac8c8,3,9162
81,20,#ace4e4,2,9163
100,22,#5698b9,6,9171
79,24,#be64ac,7,9172
84,22,#a5add3,5,9173
93,19,#5ac8c8,3,9174
100,19,#5ac8c8,3,9175
89,18,#ace4e4,2,9176
89,17,#ace4e4,2,9177
87,16,#ace4e4,2,9178
100,22,#5698b9,6,9179
93,25,#3b4994,9,9180
86,20,#ace4e4,2,9181
81,23,#a5add3,5,9182
87,20,#ace4e4,2,9183
88,20,#ace4e4,2,9184
77,19,#e8e8e8,1,9185
63,18,#e8e8e8,1,9186
92,22,#5698b9,6,9187
91,23,#5698b9,6,9188
80,23,#dfb0d6,4,9189
74,22,#dfb0d6,4,9190
93,20,#5ac8c8,3,9261
83,21,#ace4e4,2,9262
96,22,#5698b9,6,9263
88,21,#ace4e4,2,9271
83,22,#a5add3,5,9272
86,19,#ace4e4,2,9273
83,19,#ace4e4,2,9274
68,22,#dfb0d6,4,9275
94,23,#5698b9,6,9276
88,22,#a5add3,5,9277
100,20,#5ac8c8,3,9278
92,19,#5ac8c8,3,9279
81,24,#8c62aa,8,9361
86,17,#ace4e4,2,9362
91,23,#5698b9,6,9363
57,21,#e8e8e8,1,9371
89,22,#a5add3,5,9372
77,19,#e8e8e8,1,9373
90,20,#5ac8c8,3,9375
65,21,#e8e8e8,1,9376
100,23,#5698b9,6,9377
75,19,#e8e8e8,1,9461
90,22,#5698b9,6,9462
67,24,#be64ac,7,9463
78,24,#be64ac,7,9464
50,19,#e8e8e8,1,9471
50,23,#dfb0d6,4,9472
57,21,#e8e8e8,1,9474
50,26,#be64ac,7,9475
79,25,#be64ac,7,9476
89,24,#8c62aa,8,9477
89,23,#a5add3,5,9478
50,26,#be64ac,7,9479
76,21,#e8e8e8,1,9561
89,18,#ace4e4,2,9562
85,18,#ace4e4,2,9563
84,20,#ace4e4,2,9564
80,22,#dfb0d6,4,9565
78,20,#e8e8e8,1,9571
100,21,#5ac8c8,3,9572
100,22,#5698b9,6,9574
94,21,#5ac8c8,3,9575
83,21,#ace4e4,2,9576
56,22,#dfb0d6,4,9577
89,21,#ace4e4,2,9661
97,24,#3b4994,9,9662
73,20,#e8e8e8,1,9663
57,22,#dfb0d6,4,9671
94,25,#3b4994,9,9672
91,23,#5698b9,6,9673
67,21,#e8e8e8,1,9674
86,21,#ace4e4,2,9675
100,22,#5698b9,6,9676
71,23,#dfb0d6,4,9677
100,22,#5698b9,6,9678
100,22,#5698b9,6,9679
93,19,#5ac8c8,3,9761
73,23,#dfb0d6,4,9762
77,22,#dfb0d6,4,9763
89,22,#a5add3,5,9764
93,20,#5ac8c8,3,9771
75,21,#e8e8e8,1,9772
79,20,#e8e8e8,1,9773
88,20,#ace4e4,2,9774
