AdmUnitId,Kreis,X,Anteilueber65-Jaehrigen
9371,Amberg-Sulzbach,Landkreis,21
9372,Cham,Landkreis,22
9373,NeumarktinderOberpfalz,Landkreis,19
9374,NeustadtanderWaldnaab,Landkreis,21
9375,Regensburg,Landkreis,20
9376,Schwandorf,Landkreis,21
9377,Tirschenreuth,Landkreis,23
9461,Bamberg,kreisfreieStadt,19
9462,Bayreuth,kreisfreieStadt,22
9463,Coburg,kreisfreieStadt,24
9464,Hof,kreisfreieStadt,24
9471,Bamberg,Landkreis,19
9472,Bayreuth,Landkreis,23
9473,Coburg,Landkreis,23
9474,Forchheim,Landkreis,21
9475,Hof,Landkreis,26
9476,Kronach,Landkreis,25
9477,Kulmbach,Landkreis,24
9478,Lichtenfels,Landkreis,23
9479,WunsiedelimFichtelgebirge,Landkreis,26
9561,Ansbach,kreisfreieStadt,21
9562,Erlangen,kreisfreieStadt,18
9563,F�rth,kreisfreieStadt,18
9564,N�rnberg,kreisfreieStadt,20
9565,Schwabach,kreisfreieStadt,22
9571,Ansbach,Landkreis,20
9572,Erlangen-H�chstadt,Landkreis,21
9573,F�rth,Landkreis,23
9574,N�rnbergerLand,Landkreis,22
9575,NeustadtanderAisch-BadWindsheim,Landkreis,21
9576,Roth,Landkreis,21
9577,Wei�enburg-Gunzenhausen,Landkreis,22
9661,Aschaffenburg,kreisfreieStadt,21
9662,Schweinfurt,kreisfreieStadt,24
9663,W�rzburg,kreisfreieStadt,20
9671,Aschaffenburg,Landkreis,22
9672,BadKissingen,Landkreis,25
9673,Rh�n-Grabfeld,Landkreis,23
9674,Ha�berge,Landkreis,21
9675,Kitzingen,Landkreis,21
9676,Miltenberg,Landkreis,22
9677,Main-Spessart,Landkreis,23
9678,Schweinfurt,Landkreis,22
9679,W�rzburg,Landkreis,22
9761,Augsburg,kreisfreieStadt,19
9762,Kaufbeuren,kreisfreieStadt,23
9763,Kempten(Allgäu),kreisfreieStadt,22
9764,Memmingen,kreisfreieStadt,22
9771,Aichach-Friedberg,Landkreis,20
9772,Augsburg,Landkreis,21
9773,DillingenanderDonau,Landkreis,20
9774,G�nzburg,Landkreis,20
9775,Neu-Ulm,Landkreis,20
9776,Lindau(Bodensee),Landkreis,23
9777,Ostallg�u,Landkreis,21
9778,Unterallg�u,Landkreis,21
9779,Donau-Ries,Landkreis,20
9780,Oberallg�u,Landkreis,23
10041,RegionalverbandSaarbrücken,Landkreis,23
10042,Merzig-Wadern,Landkreis,23
10043,Neunkirchen,Landkreis,25
10044,Saarlouis,Landkreis,24
10045,Saarpfalz-Kreis,Landkreis,25
10046,SanktWendel,Landkreis,25
11000,Berlin,kreisfreieStadt,19
12051,BrandenburganderHavel,kreisfreieStadt,28
12052,Cottbus,kreisfreieStadt,26
12053,Frankfurt(Oder),kreisfreieStadt,26
12054,Potsdam,kreisfreieStadt,20
12060,Barnim,Landkreis,24
12061,Dahme-Spreewald,Landkreis,24
12062,Elbe-Elster,Landkreis,29
12063,Havelland,Landkreis,23
12064,M�rkisch-Oderland,Landkreis,24
12065,Oberhavel,Landkreis,23
12066,Oberspreewald-Lausitz,Landkreis,29
12067,Oder-Spree,Landkreis,27
12068,Ostprignitz-Ruppin,Landkreis,26
12069,Potsdam-Mittelmark,Landkreis,23
12070,Prignitz,Landkreis,29
12071,Spree-Nei�e,Landkreis,28
12072,Teltow-Fl�ming,Landkreis,23
12073,Uckermark,Landkreis,28
13003,Rostock,kreisfreieStadt,24
13004,Schwerin,kreisfreieStadt,26
13071,MecklenburgischeSeenplatte,Landkreis,26
13072,Rostock,Landkreis,24
13073,Vorpommern-R�gen,Landkreis,27
13074,Nordwestmecklenburg,Landkreis,24
13075,Vorpommern-Greifswald,Landkreis,26
13076,Ludwigslust-Parchim,Landkreis,24
14511,Chemnitz,kreisfreieStadt,28
14521,Erzgebirgskreis,Landkreis,30
14522,Mittelsachsen,Landkreis,29
14523,Vogtlandkreis,Landkreis,30
14524,Zwickau,Landkreis,30
14612,Dresden,kreisfreieStadt,22
14625,Bautzen,Landkreis,28
14626,G�rlitz,Landkreis,30
14627,Mei�en,Landkreis,28
14628,S�chsischeSchweiz-Osterzgebirge,Landkreis,28
14713,Leipzig,kreisfreieStadt,20
14729,Leipzig,Landkreis,27
14730,Nordsachsen,Landkreis,26
15001,Dessau-Ro�lau,kreisfreieStadt,32
15002,Halle(Saale),kreisfreieStadt,24
15003,Magdeburg,kreisfreieStadt,25
15081,AltmarkkreisSaluwedel,Landkreis,25
15082,Anhalt-Bitterfeld,Landkreis,28
15083,B�rde,Landkreis,24
15084,Burgenlandkreis,Landkreis,28
15085,Harz,Landkreis,29
15086,JerichowerLand,Landkreis,26
15087,Mansfeld-S�dharz,Landkreis,30
15088,Saalekreis,Landkreis,26
15089,Salzlandkreis,Landkreis,28
15090,Stendal,Landkreis,26
15091,Wittenberg,Landkreis,29
16051,Erfurt,kreisfreieStadt,23
16052,Gera,kreisfreieStadt,30
16053,Jena,kreisfreieStadt,21
16054,Suhl,kreisfreieStadt,33
16055,Weimar,kreisfreieStadt,23
16056,Eisenach,kreisfreieStadt,26
16061,Eichsfeld,kreisfreieStadt,24
16062,Nordhausen,kreisfreieStadt,27
16063,Wartburgkreis,Landkreis,26
16064,Unstrut-Hainich-Kreis,Landkreis,26
16065,Kyffh�userkreis,Landkreis,28
16066,Schmalkalden-Meiningen,Landkreis,27
16067,Gotha,Landkreis,26
16068,S�mmerda,Landkreis,25
16069,Hildburghausen,Landkreis,25
16070,Ilm-Kreis,Landkreis,26
16071,WeimarerLand,Landkreis,24
16072,Sonneberg,Landkreis,28
16073,Saalfeld-Rudolstadt,Landkreis,30
16074,Saale-Holzland-Kreis,Landkreis,26
16075,Saale-Orla-Kreis,Landkreis,27
16076,Greiz,Landkreis,30
16077,AltenburgerLand,Landkreis,31
