bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
3,3458,1,1,0,1,4,6,19.12.21 12:15,6,4,"3,33333333333333",22
3,3459,7,10,3,6,19,66,19.12.21 12:15,66,19,"28,3333333333333",21
3,3460,5,1,1,3,13,23,19.12.21 12:15,20,8,"9,33333333333333",16
3,3461,2,3,3,2,0,12,19.12.21 12:15,12,0,4,24
3,3462,1,3,3,1,0,8,19.12.21 12:15,8,0,"2,66666666666667",25
4,4011,9,24,16,8,8,122,19.12.21 12:15,112,2,38,21
4,4012,4,8,6,3,2,44,19.12.21 12:15,36,2,"12,6666666666667",22
5,5111,14,48,29,11,16,275,19.12.21 12:15,251,11,"87,3333333333333",19
5,5112,16,16,10,9,37,143,19.12.21 12:15,121,31,"50,6666666666667",20
5,5113,15,37,30,12,32,331,19.12.21 12:15,308,24,"110,666666666667",22
5,5114,7,15,8,4,11,74,19.12.21 12:15,64,9,"24,3333333333333",22
5,5116,6,20,11,4,8,79,19.12.21 12:15,72,8,"26,6666666666667",21
5,5117,2,6,4,2,0,36,19.12.21 12:15,36,0,12,24
5,5119,6,11,8,4,12,54,19.12.21 12:15,41,6,"15,6666666666667",22
5,5120,1,8,4,1,7,21,19.12.21 12:15,21,7,"9,33333333333333",22
5,5122,4,19,15,3,14,53,19.12.21 12:15,53,10,21,21
5,5124,7,12,7,5,32,113,19.12.21 12:15,107,24,"43,6666666666667",21
5,5154,8,8,6,5,18,43,19.12.21 12:15,42,11,"17,6666666666667",21
5,5158,6,12,4,6,15,46,19.12.21 12:15,46,15,"20,3333333333333",24
5,5162,7,12,4,5,13,88,19.12.21 12:15,77,10,29,22
5,5166,4,8,4,4,3,29,19.12.21 12:15,29,3,"10,6666666666667",22
5,5170,11,19,8,8,11,110,19.12.21 12:15,105,7,"37,3333333333333",24
5,5314,18,31,23,11,21,259,19.12.21 12:15,206,12,"72,6666666666667",18
5,5315,30,55,32,18,38,354,19.12.21 12:15,304,28,"110,666666666667",17
5,5316,5,7,4,2,12,57,19.12.21 12:15,46,5,17,22
5,5334,13,28,20,7,8,267,19.12.21 12:15,249,6,85,20
5,5358,6,10,3,4,6,53,19.12.21 12:15,48,3,17,22
5,5362,6,8,6,6,8,50,19.12.21 12:15,50,8,"19,3333333333333",22
5,5366,3,5,5,3,4,24,19.12.21 12:15,24,4,"9,33333333333333",22
5,5370,3,8,3,3,4,36,19.12.21 12:15,36,4,"13,3333333333333",21
5,5374,6,9,6,6,17,63,19.12.21 12:15,63,17,"26,6666666666667",21
5,5378,4,8,3,4,1,37,19.12.21 12:15,37,1,"12,6666666666667",23
5,5382,7,12,3,6,6,78,19.12.21 12:15,68,4,24,22
5,5512,2,5,3,2,10,29,19.12.21 12:15,29,10,13,23
5,5513,7,11,8,4,17,73,19.12.21 12:15,62,7,23,21
5,5515,9,10,9,7,12,195,19.12.21 12:15,179,9,"62,6666666666667",17
5,5554,6,10,3,5,23,47,19.12.21 12:15,46,22,"22,6666666666667",19
5,5558,5,5,3,3,4,26,19.12.21 12:15,16,4,"6,66666666666667",21
5,5562,15,24,16,14,64,155,19.12.21 12:15,134,53,"62,3333333333333",23
5,5566,7,9,5,5,23,83,19.12.21 12:15,71,20,"30,3333333333333",20
